station;lon;lat;duration;change;P
Jõgeva;639833;6514788;119;-1.62;non-significamt
Kihnu;498280;6439749;81;-3.75;non-significamt
Kunda;644075;6600560;106;-2.40;non-significamt
Kuusiku;542237;6537841;123;-5.33;significant
Massumõisa;600198;6461165;115;-4.67;significant
Narva-Jõesuu;729232;6598520;124;-0.66;non-significamt
Pärnu-Sauga;527432;6475578;109;-5.08;significant
Piigaste;666617;6442145;130;-1.47;non-significamt
Ristna;388679;6532870;91;-3.84;non-significamt
Ruhnu;455910;6404846;83;-4.55;non-significamt
Sämi;646802;6584499;118;-3.33;non-significamt
Sõrve;385004;6420807;72.5;0.00;non-significamt
Tallinn-Harku;534323;6584643;106;-4.31;significant
Tartu-Tõravere;644454;6460777;109;-4.23;significant
Tiirikoja;670277;6528857;117.5;-3.83;significant
Tooma;631080;6529032;126.5;-6.67;significant
Türi;581461;6519684;124;-3.45;significant
Valga;620933;6406993;118;0.32;non-significamt
Viljandi;593664;6471960;115.5;-4.12;significant
Vilsandi;372223;6473480;61;0.00;non-significamt
Virtsu;471766;6492663;102;-2.70;non-significamt
Võru;679259;6415630;108.5;-4.68;significant
