id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
97945,Deluxw-Apartm. with roof terrace,517685,Angelika,,Hadern,48.11476,11.48782,Entire home/apt,80,2,130,2019-10-03,1.21,2,0
170154,"Own floor & bath, parking & breakfast",108297,Alex,,Sendling-Westpark,48.10751,11.52733,Private room,55,2,476,2020-09-10,4.30,1,346
170815,Your own flat near central station!,814793,Inge,,Neuhausen-Nymphenburg,48.16132,11.54154,Entire home/apt,65,3,64,2020-02-18,0.57,1,90
171749,1min to subway - Wettersteinplatz,819382,Tarek,,Untergiesing-Harlaching,48.10583,11.57843,Private room,30,3,354,2020-10-11,3.15,1,50
172672,Cozy guest room in high-end flat.,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,49,1,214,2020-09-05,2.72,2,8
179640,GREEN OASIS near center & tradefair,860212,Ingrid,,Bogenhausen,48.14574,11.63908,Private room,35,2,50,2020-10-10,3.01,1,364
183634,munich all-inclusive camping,880705,Toby,,Allach-Untermenzing,48.17561,11.44749,Shared room,50,1,0,,,1,363
186596,2-room-flat in central location,910486,Hatice,,Au-Haidhausen,48.12198,11.57644,Shared room,83,1,163,2020-01-02,1.57,4,7
187359,Charming apartment near City Center,901209,Christian,,Neuhausen-Nymphenburg,48.15849,11.54106,Private room,78,2,32,2019-10-08,0.29,1,269
187386,"bedroom, with 2 single beds and tv",901512,Janine,,Berg am Laim,48.12199,11.62761,Private room,59,2,16,2019-10-05,0.14,1,365
189551,Beautiful Attic Floor Dwelling,914449,Peter,,Schwanthalerhöhe,48.1354,11.54618,Entire home/apt,120,3,350,2020-10-20,3.25,1,157
189582,CLASSY APARTMENT in Munich,914564,Christiane,,Bogenhausen,48.15672,11.64901,Private room,25,30,13,2019-08-31,0.13,1,86
189606,"Nice apartment near river ""Isar""",914691,Klaus,,Au-Haidhausen,48.12551,11.58045,Entire home/apt,51,2,157,2020-10-04,1.42,2,353
190383,WOW! direct binding to trade fairs,919644,Christine,,Berg am Laim,48.12452,11.63223,Private room,25,2,150,2020-02-07,1.43,1,4
190453,TRADE FAIR WITHIN WALKING DISTANCE!,919721,Rudolf,,Tudering-Riem,48.13211,11.69417,Entire home/apt,200,3,50,2020-01-15,1.08,1,0
190529,Beautiful room Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,53,1,7,2014-07-19,0.07,6,355
190564,Lovely room in Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,79,1,12,2016-12-07,0.11,6,365
190565,Beautiful in the Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12989,11.56057,Private room,70,1,71,2020-08-02,0.65,6,365
190653,Pretty and renovated apartment,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,66,1,168,2020-08-20,1.62,6,317
191405,Single Apartment in Central Munich,925836,Esther,,Au-Haidhausen,48.12175,11.57879,Entire home/apt,65,2,20,2018-08-17,0.48,1,0
192933,Artist's Studio Glockenbach area,934964,Andreas,,Ludwigsvorstadt-Isarvorstadt,48.13012,11.56642,Shared room,70,2,66,2020-01-27,0.60,1,172
193424,Beautiful apartment in the heart of Munich,938363,Moritz,,Schwabing-Freimann,48.15366,11.58564,Entire home/apt,69,2,142,2020-10-11,1.28,1,115
193463,* Munich-Schwabing-  super- clean - central-room*,938552,Gabriele,,Maxvorstadt,48.15519,11.5715,Private room,47,3,170,2020-09-03,1.64,2,139
193477,* Munich- Schwabing- super pretty mini room *,938552,Gabriele,,Maxvorstadt,48.15517,11.5693,Private room,37,2,64,2020-08-01,1.16,2,209
194533,Traumhaftes Ambiente - Neuhausen,944911,Anke,,Neuhausen-Nymphenburg,48.14822,11.5398,Entire home/apt,120,1,52,2019-10-02,0.47,1,365
195293,Stylish Apartment No.24,949632,Sabine,,Schwabing-West,48.164,11.56706,Private room,45,30,61,2020-09-22,0.61,1,0
195371,Souterrain for Sigle or Couple,949953,Sybille,,Feldmoching-Hasenbergl,48.19444,11.53349,Private room,31,5,12,2020-05-31,0.59,1,301
195388,apartment for 4 people,949998,Ingrid Und Jo,,Ramersdorf-Perlach,48.10141,11.60523,Entire home/apt,65,1,180,2020-09-25,1.63,1,364
195444,Modern room in ancient building,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.12092,11.56138,Private room,56,3,174,2020-10-11,1.57,1,365
196127,huge room in the heart of Munich,954566,Talia,,Ludwigsvorstadt-Isarvorstadt,48.13274,11.57445,Private room,30,2,95,2020-02-08,0.86,1,74
196230,Beautiful room in central location,910486,Hatice,,Au-Haidhausen,48.12022,11.57653,Private room,39,1,10,2020-07-19,0.53,4,0
196243,"Beautiful room, central location",910486,Hatice,,Au-Haidhausen,48.12185,11.57651,Private room,45,1,9,2020-02-01,0.16,4,341
196265,Beautiful Apartment with Balcony,14870835,Dominik,,Au-Haidhausen,48.11925,11.57561,Entire home/apt,65,5,66,2020-02-29,0.64,1,310
197660,Room for 2 & help with CityVisit,963973,Michael,,Sendling-Westpark,48.11009,11.5307,Private room,50,2,83,2019-10-23,0.75,1,365
198942,Charming quiet room near Michaelipark,971759,Anna C,,Berg am Laim,48.11929,11.64251,Private room,48,2,83,2020-06-30,0.80,1,227
198946,CENTRAL LOCATION - best Haidhausen,971795,Margaux,,Berg am Laim,48.12286,11.60421,Entire home/apt,65,2,192,2020-08-21,1.73,2,276
198990,Apartment in front of the castle,959791,Heidrun,,Neuhausen-Nymphenburg,48.16001,11.51108,Entire home/apt,50,720,11,2020-02-16,0.10,1,362
199066,COMFORTABLE ATTIC FLOOR DWELLING,972246,Cordula,,Untergiesing-Harlaching,48.09099,11.55945,Private room,75,1,320,2020-10-10,2.90,1,312
199099,cosy little aparment central in Munich,972392,Ingrid,,Obergiesing,48.11511,11.59193,Entire home/apt,70,7,0,,,2,291
199189,Ideal for Fair guests,972712,Michael,,Bogenhausen,48.15896,11.64821,Private room,31,1,33,2020-04-29,0.32,4,0
199256,Nice room in super central location,972992,Heide,,Maxvorstadt,48.14992,11.56211,Private room,32,3,231,2020-09-20,2.34,1,218
199797,5 min. close to ENGLISCHER GARTEN,976495,Angela,,Schwabing-Freimann,48.16637,11.59016,Entire home/apt,85,1,41,2020-02-29,0.37,1,0
199840,Cheerful room in beautiful house,976629,Roswitha,,Tudering-Riem,48.11712,11.67722,Private room,52,1,45,2019-07-03,0.44,1,364
199922,"3-room apartment, centrally located",976981,Hartmut,,Milbertshofen-Am Hart,48.18366,11.56935,Entire home/apt,98,20,19,2019-09-29,0.44,1,298
200039,Room in central location Haidhausen,977527,Fritz,,Au-Haidhausen,48.13095,11.59531,Private room,50,1,180,2020-03-12,17.76,1,0
200782,Happy room for happy responsible  Cohousing,982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12533,11.55284,Private room,28,12,20,2020-09-04,0.20,7,0
200785,"Happy Double, central, green,",982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12526,11.55195,Private room,33,12,14,2018-09-21,0.14,7,269
200791,"Happy cosy room, 3 Stops to Center",982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.1259,11.55329,Private room,29,15,16,2018-12-31,0.14,7,270
